# GLoBES neutrino oscillation simulation
# --------------------------------------
#
# Run started on Thu Oct 17 21:09:58 2019
#
# Command line:   ./nu -f 4 -a PARAM_SCAN --no-ih -t M4_GAMMA=1,MA_OVER_M4=0.9, -p DM41,3.,6.,15,LOGSCALE -p Ue4,0.,0.3,30 -p Um4,0.,0.2,20 -e E776 -e ICARUS-2014 -e OPERA -e LSND_IVAN -e KARMEN_IVAN -e MB_JK -e DECAY_KINEMATICS -e FREE_STREAMING 
#
# NU_RANK and/or NU_SIZE not defined. Assuming no parallelization.
# Using NuSQuIDS probability engine. Majorana=0
# Initializing ICARUS code, Neutrino 2014 version ...
#   Signal      normalization: 15.522
#   BG \nu_e    normalization: 10.3358
#   BG \nu_\tau normalization: 2.22053
# Using 4 flavor model
# Simulating the following experiments:
#   E776
#   ICARUS-2014
#   OPERA
#   LSND_IVAN
#   KARMEN_IVAN
#   MB_JK
#   DECAY_KINEMATICS
#   FREE_STREAMING
# Including the following AEDL files:
#   E776.glb (version 3.0.0)
#   icarus-2014.glb (version 3.0.0)
#   opera.glb (version 3.0.0)
#
# AEDL variables:
#
# External analysis routines included:
#   LSND (Ivan's code)
#   KARMEN (Ivan's code)
#   MiniBooNE (Joachim's code)
#   Beta decay kinematics
#   Cosmology (free-streaming constraint)
#
# True oscillation parameters (only nonzero params shown):
#   TH12 = 0.58678
#   TH13 = 0.149051
#   TH23 = 0.823795
#   DELTA_0 = 4.71239
#   DM21 = 7.4e-05
#   DM31 = 0.002494
#   MA_OVER_M4 = 0.9
#   M4_GAMMA = 1
# External priors:
#
# Miscellaneous options:
#   Constraint \eps^s = \eps^{d\dag}: NO
#   New reactor fluxes (1101.2663):   YES
#
# Parameter scan:
#         DM41,          3,          6,    15  0x1
#          Ue4,          0,        0.3,    30  0x0
#          Um4,          0,        0.2,    20  0x0
# Marginalizing over:
#   
# Prescan for degeneracy finding:
# Degfinder flags: 0x2
#
# Initializing ICARUS code, Neutrino 2014 version ...
#   Signal      normalization: 15.522
#   BG \nu_e    normalization: 10.3358
#   BG \nu_\tau normalization: 2.22053
# Initializing Ivan's LSND code ...
# Initializing Ivan's KARMEN code ...
# Initializing external constraints code (beta decay/cosmo) ...
# Initializing Joachim's MiniBooNE code ...
# Flags in Joachim's MiniBooNE code: OSC_BG OSC_NORM OSC_NUMU 
# General parameter scan
#
#                  DM41             Ue4             Um4       chi2_NH          chi2_IH
                      3             0.1            0.05 5.617533033e+12           1e+50
                      3             0.1            0.06 2.923148896e+12           1e+50
                      3             0.1            0.07 1.458225532e+12           1e+50
                      3             0.1            0.08 6.986097661e+11           1e+50
                      3             0.1            0.09 3.216485008e+11           1e+50
                      3             0.1             0.1 1.422802972e+11           1e+50
                      3             0.1            0.11 6.041046301e+10           1e+50
                      3             0.1            0.12 2.459368086e+10           1e+50
                      3             0.1            0.13      9598556163           1e+50
                      3             0.1            0.14      3600428616           1e+50
                      3             0.1            0.15      1308944337           1e+50
                      3             0.1            0.16     470420771.2           1e+50
                      3             0.1            0.17     173841490.8           1e+50
                      3             0.1            0.18     70726622.77           1e+50
                      3             0.1            0.19     34966683.38           1e+50
                      3             0.1             0.2     23357095.76           1e+50
                      3            0.11               0 1.031579838e+14           1e+50
                      3            0.11            0.01 7.210421121e+13           1e+50
                      3            0.11            0.02 4.808145899e+13           1e+50
                      3            0.11            0.03 3.062086595e+13           1e+50
                      3            0.11            0.04 1.866294929e+13           1e+50
                      3            0.11            0.05 1.091431525e+13           1e+50
                      3            0.11            0.06 6.140735074e+12           1e+50
                      3            0.11            0.07 3.331660089e+12           1e+50
                      3            0.11            0.08 1.746090615e+12           1e+50
                      3            0.11            0.09  8.84853254e+11           1e+50
                      3            0.11             0.1 4.336942722e+11           1e+50
                      3            0.11            0.11    2.055087e+11           1e+50
                      3            0.11            0.12 9.406815979e+10           1e+50
                      3            0.11            0.13 4.155433565e+10           1e+50
                      3            0.11            0.14 1.770844835e+10           1e+50
                      3            0.11            0.15      7288916872           1e+50
                      3            0.11            0.16      2911300934           1e+50
                      3            0.11            0.17      1141041309           1e+50
                      3            0.11            0.18     448795669.5           1e+50
                      3            0.11            0.19     184375546.9           1e+50
                      3            0.11             0.2     84248045.01           1e+50
                      3            0.12               0 1.467849976e+14           1e+50
                      3            0.12            0.01  1.05854141e+14           1e+50
                      3            0.12            0.02 7.336545258e+13           1e+50
                      3            0.12            0.03 4.890248964e+13           1e+50
                      3            0.12            0.04 3.139450029e+13           1e+50
                      3            0.12            0.05 1.944847825e+13           1e+50
                      3            0.12            0.06    1.164968e+13           1e+50
                      3            0.12            0.07 6.760278978e+12           1e+50
                      3            0.12            0.08 3.806369804e+12           1e+50
                      3            0.12            0.09 2.081694678e+12           1e+50
                      3            0.12             0.1 1.106401404e+12           1e+50
                      3            0.12            0.11  5.71476597e+11           1e+50
                      3            0.12            0.12 2.867325114e+11           1e+50
                      3            0.12            0.13   1.3964203e+11           1e+50
                      3            0.12            0.14 6.595626431e+10           1e+50
                      3            0.12            0.15 3.019849499e+10           1e+50
                      3            0.12            0.16 1.341018956e+10           1e+50
                      3            0.12            0.17      5791161447           1e+50
                      3            0.12            0.18      2448292230           1e+50
                      3            0.12            0.19      1027016766           1e+50
                      3            0.12             0.2     437997633.4           1e+50
                      3            0.13               0 2.032057967e+14           1e+50
                      3            0.13            0.01 1.504251685e+14           1e+50
                      3            0.13            0.02 1.076363384e+14           1e+50
                      3            0.13            0.03 7.448064167e+13           1e+50
                      3            0.13            0.04 4.989048088e+13           1e+50
                      3            0.13            0.05 3.239600807e+13           1e+50
                      3            0.13            0.06 2.042428561e+13           1e+50
                      3            0.13            0.07 1.252133973e+13           1e+50
                      3            0.13            0.08  7.47453407e+12           1e+50
                      3            0.13            0.09 4.349019523e+12           1e+50
                      3            0.13             0.1 2.468036516e+12           1e+50
                      3            0.13            0.11 1.366371364e+12           1e+50
                      3            0.13            0.12 7.378692642e+11           1e+50
                      3            0.13            0.13 3.884881515e+11           1e+50
                      3            0.13            0.14 1.992788915e+11           1e+50
                      3            0.13            0.15  9.95189045e+10           1e+50
                      3            0.13            0.16  4.83598556e+10           1e+50
                      3            0.13            0.17   2.2870071e+10           1e+50
                      3            0.13            0.18 1.054216002e+10           1e+50
                      3            0.13            0.19      4756186268           1e+50
                      3            0.13             0.2      2118027484           1e+50
                      3            0.14               0  2.74829668e+14           1e+50
                      3            0.14            0.01 2.080134012e+14           1e+50
                      3            0.14            0.02 1.528826456e+14           1e+50
                      3            0.14            0.03 1.091407338e+14           1e+50
                      3            0.14            0.04 7.573460926e+13           1e+50
                      3            0.14            0.05 5.113694795e+13           1e+50
                      3            0.14            0.06 3.363832297e+13           1e+50
                      3            0.14            0.07 2.158381711e+13           1e+50
                      3            0.14            0.08 1.352403913e+13           1e+50
                      3            0.14            0.09 8.282690509e+12           1e+50
                      3            0.14             0.1 4.961471931e+12           1e+50
                      3            0.14            0.11 2.907908308e+12           1e+50
                      3            0.14            0.12 1.667652961e+12           1e+50
                      3            0.14            0.13 9.355867455e+11           1e+50
                      3            0.14            0.14 5.132264096e+11           1e+50
                      3            0.14            0.15 2.751072692e+11           1e+50
                      3            0.14            0.16 1.440016487e+11           1e+50
                      3            0.14            0.17 7.356604617e+10           1e+50
                      3            0.14            0.18 3.667811875e+10           1e+50
                      3            0.14            0.19 1.786271272e+10           1e+50
                      3            0.14             0.2      8519986989           1e+50
                      3            0.15               0 3.643255085e+14           1e+50
                      3            0.15            0.01 2.810628082e+14           1e+50
                      3            0.15            0.02  2.11329684e+14           1e+50
                      3            0.15            0.03 1.548949088e+14           1e+50
                      3            0.15            0.04  1.10729025e+14           1e+50
                      3            0.15            0.05 7.726347886e+13           1e+50
                      3            0.15            0.06 5.267240758e+13           1e+50
                      3            0.15            0.07 3.511695074e+13           1e+50
                      3            0.15            0.08 2.291833663e+13           1e+50
                      3            0.15            0.09 1.465329788e+13           1e+50
                      3            0.15             0.1 9.184326429e+12           1e+50
                      3            0.15            0.11 5.645428305e+12           1e+50
                      3            0.15            0.12 3.403759713e+12           1e+50
                      3            0.15            0.13 2.012819827e+12           1e+50
                      3            0.15            0.14 1.167107425e+12           1e+50
                      3            0.15            0.15 6.632426365e+11           1e+50
                      3            0.15            0.16 3.691739625e+11           1e+50
                      3            0.15            0.17 2.011471938e+11           1e+50
                      3            0.15            0.18 1.072251908e+11           1e+50
                      3            0.15            0.19 5.591140676e+10           1e+50
                      3            0.15             0.2 2.853255568e+10           1e+50
                      3            0.16               0 4.746390386e+14           1e+50
                      3            0.16            0.01 3.722811002e+14           1e+50
